symbol,start_date,end_date
000250,2018-06-15,2026-09-11
003380,2017-12-15,2026-09-11
003670,2016-08-12,2019-05-28
005290,2016-08-12,2026-09-11
006730,2016-08-12,2026-09-11
007390,2017-12-15,2026-09-11
007820,2017-12-15,2020-06-11
009520,2023-06-09,2026-09-11
010170,2018-12-14,2019-12-12
013030,2018-06-15,2020-06-11
014200,2016-12-09,2018-06-14
014620,2016-08-12,2020-12-10
014620,2025-06-13,2026-09-11
015750,2016-08-12,2020-12-10
015750,2021-06-11,2026-09-11
016100,2016-08-12,2019-12-12
016170,2016-08-12,2018-08-29
016250,2016-08-12,2020-06-11
016790,2022-12-09,2024-04-15
018000,2017-12-15,2019-06-13
018000,2021-06-11,2022-06-09
018290,2024-06-14,2026-09-11
019210,2016-08-12,2020-06-11
022100,2016-08-12,2023-12-28
023160,2016-08-12,2020-12-10
023410,2016-08-12,2023-06-08
024660,2016-08-12,2018-06-27
025320,2024-06-14,2026-09-11
025770,2016-08-12,2019-12-12
025900,2016-08-12,2026-09-11
025980,2016-08-12,2026-09-11
027050,2016-08-12,2018-12-13
027360,2021-06-11,2023-12-14
028150,2016-08-12,2021-06-28
028300,2016-08-12,2026-09-11
029960,2018-12-14,2023-12-14
030190,2018-06-15,2023-08-07
030520,2016-08-12,2019-12-12
030520,2022-08-22,2026-09-11
030530,2016-08-12,2023-12-14
031390,2016-08-12,2021-10-27
031980,2017-12-15,2019-06-13
031980,2024-03-26,2026-09-11
032190,2020-06-12,2026-09-11
032500,2019-03-22,2026-09-11
032820,2025-12-12,2026-09-11
033100,2024-06-14,2026-09-11
033290,2017-12-15,2024-06-13
033310,2021-12-10,2022-06-09
033500,2025-06-13,2026-09-11
033640,2019-12-13,2025-06-12
034230,2016-08-12,2024-06-21
034950,2025-06-13,2025-12-11
035080,2016-08-12,2018-12-13
035080,2021-12-10,2022-12-08
035600,2016-08-12,2025-06-12
035760,2016-08-12,2026-09-11
035810,2016-08-12,2021-06-10
035890,2016-08-12,2020-03-25
