symbol,name,underlyingIndexName,legacyAssetClass,assetClass,legacySectorCode,sectorCode,region,stockSectorCode,rotationSource,marketSource,peerGroup,basis,confidence
0008T0,SOL 화장품TOP3플러스,FnGuide 화장품TOP3 플러스 지수(PR),equity,equity,HEALTH_SVC,HEALTH_SVC,KR,HEALTH_SVC,domestic_stock_sector,domestic_stock_sector,KR:HEALTH_SVC,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0023A0,SOL 미국양자컴퓨팅TOP10,KEDI 미국양자컴퓨팅 TOP10(PR),equity,equity,MARKET_IDX,MULTI_TECH,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:MULTI_TECH,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
0043B0,TIGER 머니마켓액티브,KIS-미래에셋 MMF지수,bond_cash,bond_cash,MARKET_IDX,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0051G0,SOL 미국원자력SMR,KEDI 미국원자력 SMR 지수(PR),equity,equity,ENERGY,ENERGY,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:ENERGY,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0052D0,TIGER 코리아배당다우존스,Dow Jones Korea Dividend 30 지수 (Price Return),equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0053L0,TIGER 차이나휴머노이드로봇,Mirae Asset China Humanoid Robot 지수(PR),equity,equity,SHIP_DEF,SHIP_DEF,CN,,not_applicable_no_compatible_stock_sector,own_underlying_regime,CN:SHIP_DEF,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0072R0,TIGER KRX금현물,KRX 금현물지수,commodity_fx,commodity_fx,MARKET_IDX,COMMODITY_FX,KR,,excluded_nonplain_equity,not_researched,KR:COMMODITY_FX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0080G0,KODEX 방산TOP10,iSelect 방산 TOP10 지수(Price Return),equity,equity,SHIP_DEF,SHIP_DEF,KR,SHIP_DEF,domestic_stock_sector,domestic_stock_sector,KR:SHIP_DEF,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0091P0,TIGER 코리아원자력,iSelect 코리아 원자력 지수 (Price Return),equity,equity,ENERGY,ENERGY,KR,ENERGY,domestic_stock_sector,domestic_stock_sector,KR:ENERGY,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0105D0,SOL 한국AI소프트웨어,KEDI 한국AI소프트웨어 지수(PR),equity,equity,SOFTWARE,SOFTWARE,KR,SOFTWARE,domestic_stock_sector,domestic_stock_sector,KR:SOFTWARE,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0117V0,TIGER 코리아AI전력기기TOP3플러스,KEDI 코리아AI전력기기TOP3플러스 지수,equity,equity,SHIP_DEF,ENERGY,KR,ENERGY,domestic_stock_sector,domestic_stock_sector,KR:ENERGY,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
0148J0,TIGER 코리아휴머노이드로봇산업,KEDI 코리아 휴머노이드로봇산업 지수 (PR),equity,equity,SHIP_DEF,SHIP_DEF,KR,SHIP_DEF,domestic_stock_sector,domestic_stock_sector,KR:SHIP_DEF,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,KAP 삼성전자SK하이닉스채권혼합50 지수,mixed,mixed,MARKET_IDX,MULTI_ASSET,KR,,excluded_nonplain_equity,not_researched,KR:MULTI_ASSET,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0167A0,SOL AI반도체TOP2플러스,FnGuide AI반도체 TOP2 플러스 지수(PR),equity,equity,SEMI,SEMI,KR,SEMI,domestic_stock_sector,domestic_stock_sector,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0173Y0,KODEX 미국AI광통신네트워크,Akros 미국 AI 광통신 및 네트워크 인프라 지수(PR),reit_infra,equity,TELCO_MEDIA,IT_HW,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:IT_HW,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,Wise 삼성전자 SK하이닉스 채권혼합 지수,mixed,mixed,MARKET_IDX,MULTI_ASSET,KR,,excluded_nonplain_equity,not_researched,KR:MULTI_ASSET,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0177R0,TIGER 반도체TOP10커버드콜액티브,FnGuide 반도체 TOP10 Capped 지수(Price Return),option_overlay,option_overlay,SEMI,SEMI,KR,SEMI,excluded_nonplain_equity,not_researched,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0182R0,1Q K반도체TOP2+,NICE K반도체 TOP2 MAX+ 지수,equity,equity,SEMI,SEMI,KR,SEMI,domestic_stock_sector,domestic_stock_sector,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0183J0,TIGER 미국우주테크,Akros U.S. Space Tech 지수(PR),equity,equity,SHIP_DEF,SHIP_DEF,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:SHIP_DEF,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0193T0,KODEX SK하이닉스단일종목레버리지,KRX SK하이닉스 지수,leveraged_inverse,leveraged_inverse,SEMI,SEMI,KR,SEMI,excluded_nonplain_equity,not_researched,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0193W0,KODEX 삼성전자단일종목레버리지,KRX 삼성전자 지수,leveraged_inverse,leveraged_inverse,SEMI,SEMI,KR,SEMI,excluded_nonplain_equity,not_researched,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0195R0,TIGER 삼성전자단일종목레버리지,KRX 삼성전자 지수,leveraged_inverse,leveraged_inverse,SEMI,SEMI,KR,SEMI,excluded_nonplain_equity,not_researched,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0195S0,TIGER SK하이닉스단일종목레버리지,KRX SK하이닉스 지수,leveraged_inverse,leveraged_inverse,SEMI,SEMI,KR,SEMI,excluded_nonplain_equity,not_researched,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0197X0,SOL SK하이닉스선물단일종목인버스2X,KRX SK하이닉스 선물 지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,SEMI,KR,SEMI,excluded_nonplain_equity,not_researched,KR:SEMI,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
0210A0,ACE K반도체TOP2+,KRX K-AI 반도체TOP2+ 지수,equity,equity,SEMI,SEMI,KR,SEMI,domestic_stock_sector,domestic_stock_sector,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
0219E0,KODEX 200커버드콜액티브,코스피 200 커버드콜 5% OTM,option_overlay,option_overlay,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
069500,KODEX 200,코스피 200,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
069660,KIWOOM 200,코스피 200,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
091160,KODEX 반도체,KRX 반도체,equity,equity,SEMI,SEMI,KR,SEMI,domestic_stock_sector,domestic_stock_sector,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
091170,KODEX 은행,KRX 은행,equity,equity,FINANCE,FINANCE,KR,FINANCE,domestic_stock_sector,domestic_stock_sector,KR:FINANCE,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
091180,KODEX 자동차,KRX 자동차,equity,equity,AUTO,AUTO,KR,AUTO,domestic_stock_sector,domestic_stock_sector,KR:AUTO,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
091220,TIGER 은행,KRX 은행,equity,equity,FINANCE,FINANCE,KR,FINANCE,domestic_stock_sector,domestic_stock_sector,KR:FINANCE,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
091230,TIGER 반도체,KRX 반도체,equity,equity,SEMI,SEMI,KR,SEMI,domestic_stock_sector,domestic_stock_sector,KR:SEMI,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
099140,KODEX 차이나H,Hang Seng China H,equity,equity,ETC,MARKET_IDX,CN,,not_applicable_no_compatible_stock_sector,own_underlying_regime,CN:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
101280,KODEX 일본TOPIX100,TOPIX100,equity,equity,ETC,MARKET_IDX,JP,,not_applicable_no_compatible_stock_sector,own_underlying_regime,JP:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
102110,TIGER 200,코스피 200,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
102780,KODEX 삼성그룹,삼성그룹,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
102960,KODEX 기계장비,KRX 기계장비,equity,equity,SHIP_DEF,SHIP_DEF,KR,SHIP_DEF,domestic_stock_sector,domestic_stock_sector,KR:SHIP_DEF,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
102970,KODEX 증권,KRX 증권,equity,equity,FINANCE,FINANCE,KR,FINANCE,domestic_stock_sector,domestic_stock_sector,KR:FINANCE,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
104520,KIWOOM 블루칩,MKF 블루칩,equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
105190,ACE 200,코스피 200,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
105780,RISE 5대그룹주,MKF 5대그룹주,equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
108450,ACE 삼성그룹섹터가중,MKF SAMs SW,equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
108590,TREX 200,코스피 200,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
114100,RISE 국고채3년,KTB INDEX(시장가격),bond_cash,bond_cash,MARKET_IDX,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
114260,KODEX 국고채3년,MKF 국고채지수(총수익),bond_cash,bond_cash,MARKET_IDX,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
