symbol,sectorCode,mapMethod,confidenceGrade
OPTT,ENERGY,RULE,B
APT,IT_HW,RULE,B
GLDG,CHEM_STEEL,RULE,B
ACCS,TELCO_MEDIA,RULE,B
MHH,SOFTWARE,RULE,B
BUDA,CONSUMER,RULE,B
LCTX,BIO,RULE,B
MLSS,HEALTH_SVC,ML_NAME_IMPUTED,C2
MYO,SOFTWARE,ML_NAME_IMPUTED,C3
AUXX,CHEM_STEEL,RULE,B
CPHI,BIO,RULE,B
BTG,CHEM_STEEL,RULE,B
GROY,CHEM_STEEL,RULE,B
CVM,CHEM_STEEL,ML_NAME_IMPUTED,C3
CVR,FINANCE,ML_NAME_IMPUTED,C3
AIRI,SHIP_DEF,RULE,B
CVU,SHIP_DEF,RULE,B
HLSQ,SHIP_DEF,RULE,B
FLYX,SOFTWARE,ML_NAME_IMPUTED,C1
INTT,CONSTRUCT,ML_NAME_IMPUTED,C3
JAGU,ENERGY,RULE,B
AMZE,CONSUMER,ML_NAME_IMPUTED,C3
NNVC,SOFTWARE,ML_NAME_IMPUTED,C3
ELLO,FINANCE,RULE,B
BDL,BATTERY,ML_NAME_IMPUTED,C2
CMCL,CHEM_STEEL,RULE,B
GCDT,IT_HW,RULE,B
GNS,TELCO_MEDIA,ML_NAME_IMPUTED,C3
BQ,SOFTWARE,ML_NAME_IMPUTED,C3
INDO,ENERGY,RULE,B
KULR,IT_HW,RULE,B
IBO,BIO,RULE,B
BKTI,IT_HW,RULE,B
AZTR,SOFTWARE,ML_NAME_IMPUTED,C3
COHN,SHIP_DEF,ML_NAME_IMPUTED,C3
DIT,CONSUMER,ML_NAME_IMPUTED,C3
MCRP,SHIP_DEF,RULE,B
HYLN,CONSUMER,ML_NAME_IMPUTED,C3
ACU,CONSTRUCT,ML_NAME_IMPUTED,C2
MINE,CHEM_STEEL,RULE,B
ELA,BATTERY,ML_NAME_IMPUTED,C3
DC,CHEM_STEEL,RULE,B
ITRG,CHEM_STEEL,RULE,B
ITP,IT_HW,RULE,B
IDR,CHEM_STEEL,ML_NAME_IMPUTED,C3
INFU,SEMI,ML_NAME_IMPUTED,C3
NINE,ENERGY,RULE,B
LGPS,CHEM_STEEL,ML_NAME_IMPUTED,C3
MMA,CONSTRUCT,ML_NAME_IMPUTED,C3
INUV,FINANCE,ML_NAME_IMPUTED,C3
OGEN,CONSUMER,ML_NAME_IMPUTED,C3
EP,ENERGY,RULE,B
NFGC,CHEM_STEEL,RULE,B
CLDI,BIO,RULE,B
ISOU,ENERGY,ML_NAME_IMPUTED,C1
MGLD,CHEM_STEEL,RULE,B
OPHC,HEALTH_SVC,ML_NAME_IMPUTED,C3
GAU,CHEM_STEEL,RULE,B
BHB,FINANCE,RULE,B
BRBS,FINANCE,RULE,B
GRO,CHEM_STEEL,RULE,B
BHM,FINANCE,RULE,B
KNRX,SOFTWARE,ML_NAME_IMPUTED,C2
OBE,ENERGY,RULE,B
GBR,ENERGY,RULE,B
AWX,CONSUMER,ML_NAME_IMPUTED,C3
IGC,BIO,RULE,B
BATL,ENERGY,RULE,B
NSRX,BIO,RULE,B
NEWP,CHEM_STEEL,RULE,B
GTE,ENERGY,RULE,B
NAK,CHEM_STEEL,RULE,B
EPM,ENERGY,RULE,B
GORO,CHEM_STEEL,RULE,B
DNN,CHEM_STEEL,ML_NAME_IMPUTED,C2
CTGO,CHEM_STEEL,RULE,B
BCHT,IT_HW,ML_NAME_IMPUTED,C3
CHOW,SOFTWARE,RULE,B
LGCY,CONSUMER,RULE,B
APUS,BIO,RULE,B
MPU,SOFTWARE,ML_NAME_IMPUTED,C2
IHT,HEALTH_SVC,RULE,B
CCEL,SHIP_DEF,ML_NAME_IMPUTED,C3
AIB,SOFTWARE,RULE,B
IE,ENERGY,ML_NAME_IMPUTED,C3
AEON,BIO,RULE,B
FSI,IT_HW,RULE,B
FSP,FINANCE,RULE,B
AIM,BIO,RULE,B
CMT,IT_HW,RULE,B
ATNM,BIO,RULE,B
EQX,CHEM_STEEL,RULE,B
LPA,FINANCE,RULE,B
MITQ,IT_HW,RULE,B
NTIP,IT_HW,RULE,B
OSTX,AUTO,ML_NAME_IMPUTED,C3
MRT,IT_HW,RULE,B
INLX,SEMI,ML_NAME_IMPUTED,C3
ESP,IT_HW,RULE,B
GPUS,SOFTWARE,ML_NAME_IMPUTED,C3
LODE,SEMI,ML_NAME_IMPUTED,C3
MSN,TELCO_MEDIA,RULE,B
COPR,CHEM_STEEL,RULE,B
BRIA,SOFTWARE,ML_NAME_IMPUTED,C2
FURY,CHEM_STEEL,RULE,B
NVA,CHEM_STEEL,RULE,B
CITR,CONSUMER,ML_NAME_IMPUTED,C3
MTA,TELCO_MEDIA,RULE,B
MPTI,SHIP_DEF,RULE,B
CATX,BIO,RULE,B
AXIL,CONSUMER,RULE,B
PAPL,FINANCE,RULE,B
